tag,step,value
train/loss,1,0.5243923664093018
train/loss,5,0.4910230040550232
train/loss,10,0.48984965682029724
train/loss,15,0.46844983100891113
train/loss,20,0.4625236392021179
train/loss,25,0.4836285710334778
train/loss,30,0.467503160238266
train/loss,35,0.4844270348548889
train/loss,40,0.4597848951816559
train/loss,45,0.4574478268623352
train/loss,50,0.4685245454311371
train/loss,55,0.4806855320930481
train/loss,60,0.46160411834716797
train/loss,65,0.46559157967567444
train/loss,70,0.4574507772922516
train/loss,75,0.47160768508911133
train/loss,80,0.4633849263191223
train/loss,85,0.4581543803215027
train/loss,90,0.45693835616111755
train/loss,95,0.46094292402267456
train/loss,100,0.4626862108707428
train/loss,105,0.47073644399642944
train/loss,110,0.4661808907985687
train/loss,115,0.46374082565307617
train/loss,120,0.474604994058609
train/loss,125,0.46045637130737305
train/grad_norm,1,1.4023164510726929
train/grad_norm,5,1.9182966947555542
train/grad_norm,10,0.644482433795929
train/grad_norm,15,0.6208810806274414
train/grad_norm,20,0.6015410423278809
train/grad_norm,25,0.7126671075820923
train/grad_norm,30,0.4500252604484558
train/grad_norm,35,0.5758167505264282
train/grad_norm,40,0.3377177119255066
train/grad_norm,45,0.6316582560539246
train/grad_norm,50,0.48979830741882324
train/grad_norm,55,0.7198878526687622
train/grad_norm,60,0.28700342774391174
train/grad_norm,65,0.30769699811935425
train/grad_norm,70,0.3228209614753723
train/grad_norm,75,0.3757038414478302
train/grad_norm,80,0.6334325671195984
train/grad_norm,85,0.35727885365486145
train/grad_norm,90,0.44497427344322205
train/grad_norm,95,0.5286512970924377
train/grad_norm,100,0.5603136420249939
train/grad_norm,105,0.4477726221084595
train/grad_norm,110,0.4936458170413971
train/grad_norm,115,0.3592683672904968
train/grad_norm,120,0.4930763840675354
train/grad_norm,125,0.594784677028656
train/learning_rate,1,1.4285714314610232e-05
train/learning_rate,5,7.142857066355646e-05
train/learning_rate,10,9.98406030703336e-05
train/learning_rate,15,9.887017222354189e-05
train/learning_rate,20,9.703501564217731e-05
train/learning_rate,25,9.436760592507198e-05
train/learning_rate,30,9.09151422092691e-05
train/learning_rate,35,8.673870615893975e-05
train/learning_rate,40,8.191220695152879e-05
train/learning_rate,45,7.652104250155389e-05
train/learning_rate,50,7.066060788929462e-05
train/learning_rate,55,6.443460006266832e-05
train/learning_rate,60,5.795317338197492e-05
train/learning_rate,65,5.13310260430444e-05
train/learning_rate,70,4.4685326429316774e-05
train/learning_rate,75,3.813366492977366e-05
train/learning_rate,80,3.179197301506065e-05
train/learning_rate,85,2.5772456865524873e-05
train/learning_rate,90,2.018163286265917e-05
train/learning_rate,95,1.5118424016691279e-05
train/learning_rate,100,1.0672421922208741e-05
train/learning_rate,105,6.922296051925514e-06
train/learning_rate,110,3.934401320293546e-06
train/learning_rate,115,1.7616065406400594e-06
train/learning_rate,120,4.4235844143258873e-07
train/learning_rate,125,0.0
train/token_acc,1,0.6666666865348816
train/token_acc,5,0.7395833134651184
train/token_acc,10,0.7250000238418579
train/token_acc,15,0.7166666388511658
train/token_acc,20,0.7749999761581421
train/token_acc,25,0.7250000238418579
train/token_acc,30,0.7833333611488342
train/token_acc,35,0.7166666388511658
train/token_acc,40,0.7666666507720947
train/token_acc,45,0.7666666507720947
train/token_acc,50,0.7583333253860474
train/token_acc,55,0.75
train/token_acc,60,0.7833333611488342
train/token_acc,65,0.7250000238418579
train/token_acc,70,0.7833333611488342
train/token_acc,75,0.75
train/token_acc,80,0.75
train/token_acc,85,0.7583333253860474
train/token_acc,90,0.7749999761581421
train/token_acc,95,0.7583333253860474
train/token_acc,100,0.75
train/token_acc,105,0.75
train/token_acc,110,0.7666666507720947
train/token_acc,115,0.7666666507720947
train/token_acc,120,0.7416666746139526
train/token_acc,125,0.7583333253860474
train/epoch,1,0.00800000037997961
train/epoch,5,0.03999999910593033
train/epoch,10,0.07999999821186066
train/epoch,15,0.11999999731779099
train/epoch,20,0.1599999964237213
train/epoch,25,0.20000000298023224
train/epoch,30,0.23999999463558197
train/epoch,35,0.2800000011920929
train/epoch,40,0.3199999928474426
train/epoch,45,0.36000001430511475
train/epoch,50,0.4000000059604645
train/epoch,55,0.4399999976158142
train/epoch,60,0.47999998927116394
train/epoch,65,0.5199999809265137
train/epoch,70,0.5600000023841858
train/epoch,75,0.6000000238418579
train/epoch,80,0.6399999856948853
train/epoch,85,0.6800000071525574
train/epoch,90,0.7200000286102295
train/epoch,95,0.7599999904632568
train/epoch,100,0.800000011920929
train/epoch,105,0.8399999737739563
train/epoch,110,0.8799999952316284
train/epoch,115,0.9200000166893005
train/epoch,120,0.9599999785423279
train/epoch,125,1.0
train/epoch,125,1.0
train/train_runtime,125,29785.0078125
train/train_samples_per_second,125,0.03400000184774399
train/train_steps_per_second,125,0.004000000189989805
train/total_flos,125,2497060431462400.0
train/train_loss,125,0.4685840904712677
